year,month,pv_kwh,pv_used_kwh,load_kwh,gen_dc_kwh,genset_h,fuel_l
2005,1,675.236495496815,632.5632575749086,891.6,266.8269758697274,29.25734384536485,96.63789330741723
2005,2,677.9468541703164,568.5928993120664,806.4,293.03630458041204,32.131173747852195,106.13024056108755
2005,3,772.5576356956809,631.9237041943592,891.6,291.07635162433826,31.91626662547569,105.4203958235409
2005,4,885.2411383668787,724.3817047677994,864.0,167.22361985764468,18.3359232300049,60.56411006274345
2005,5,1056.4445912397848,891.5487987013374,894.6682999999999,27.025802006994226,2.9633554832230513,9.788052959736746
2005,6,1044.5144501805628,846.9605385478693,871.2632,52.03803975033081,5.705925411220484,18.8468445400919
2005,7,1097.4165181515418,933.0923686972815,907.2014,0.0,0.0,0.0
2005,8,949.3350063386805,845.1197653788944,901.2529,76.5678409756472,8.39559659820693,27.730909975895617
2005,9,833.3910404303493,770.7253961891835,866.1102,95.8795081122465,10.513103959676151,34.7251009577182
2005,10,834.4528016138507,727.8441560620731,894.0367,223.4988504732128,24.506452902764565,80.94555655761629
2005,11,608.7766633810195,546.6005003812132,864.0,337.1495933708834,36.96815716786002,122.10694337262855
2005,12,339.32299445353317,339.32299445353317,892.8,577.4846070187832,63.320680594164834,209.15012681102928
2006,1,650.5721483770615,617.7844210337465,892.8,334.69340710291044,36.69883849812615,121.21737564532576
2006,2,551.3225767313253,509.8340464274506,806.4,307.56939283570443,33.72471412672198,111.39375272159683
2006,3,584.5859471186396,523.3846703975506,891.6,415.63990608505424,45.574551105817356,150.53412334951793
2006,4,790.8776216006077,714.3479373604455,864.0,154.52437244483633,16.943461890881178,55.96476806381965
2006,5,1040.8207649417552,878.2101660976816,895.5049,69.2336098135555,7.591404584819683,25.07463938622259
2006,6,949.6970783213003,810.8725742356902,877.8954,92.3549783934247,10.126642367700077,33.44860660846389
2006,7,1002.4733527840202,905.7150681938871,909.7829,22.519053438763216,2.4691944560047387,8.155824112258077
2006,8,967.0049713246285,877.0005988162675,901.9118,54.38857263197466,5.963659279821783,19.698147318199222
2006,9,977.6725236459946,806.7996793309508,867.9348,79.13536299455131,8.67712313536747,28.660800659244064
2006,10,1065.5098958655913,861.7291747733468,894.2084,74.17243313309949,8.132942229506524,26.86335463685488
2006,11,807.1363074014406,753.1467502690147,864.0,140.2113837607546,15.374055236924846,50.78097032802449
2006,12,713.368760572118,674.6541030894136,892.8,230.62596646255548,25.287934919139857,83.5268153389771
2007,1,596.2002374847415,584.5449543614783,892.8,362.566983409933,39.75515168968564,131.312470732598
2007,2,528.8050797028956,524.4154068487585,806.4,296.3304385977265,32.49237265325949,107.32329149106921
2007,3,724.7789071208894,602.0429148781641,891.6,329.82991314772846,36.16556065216321,119.45594276017545
2007,4,1119.9010140046264,867.5939841685357,864.0685,27.108359208429157,2.972407807941794,9.81795306259562
2007,5,925.5159448888024,828.1545879489992,895.0955,74.17319651803888,8.13302593399549,26.863631115318437
2007,6,1015.6935667344063,871.9624485376313,874.8554,48.53116186059124,5.321399326819215,17.576743231008923
2007,7,1223.2081665583469,945.2121393108713,919.7597,0.0,0.0,0.0
2007,8,1185.6005676639918,936.1054840801747,912.8529,0.0,0.0,0.0
2007,9,977.2852554553715,816.7493767214866,865.0455999999999,78.04216149296684,8.557254549667418,28.264871088295408
2007,10,771.2214395246305,646.4160883928052,894.4026,258.1838934073652,28.309637435018114,93.50759031566588
