time,pv_kwh,pv_used_kwh,curtailed_kwh,load_kwh,gen_dc_kwh,genset_h,starts,fuel_l,wet_stack_h,unmet_kwh,discharge_kwh,soc_min,cycles,refills
2005,9291.979060552912,7616.124631217883,1675.8544293350296,10544.9327,3264.607607516712,406.9647255644724,129,1231.3605860484906,2.122488231645466,0.0,6597.949976756867,0.10825278623426873,229.0954853040579,3
2006,9682.534448650296,7990.1502255899395,1692.3842230603575,10558.8382,2914.139158552066,360.54118494878304,114,1096.4349118558705,3.284452653963637,0.0,6492.075088550301,0.10736487180958958,225.4192739079966,3
2007,9893.271629526,8088.179717709607,1805.0919118163931,10573.680199999999,2816.36525635743,349.84282221219866,111,1061.0461697772062,2.2303359777101273,0.0,6477.089755595192,0.10789338886405024,224.89894984705532,3
2008,9530.851735706774,7883.915300674852,1646.9364350319217,10599.5783,3055.1428537896004,382.30064763863965,121,1153.8013682925791,7.9161453602430445,0.0,6536.061501777691,0.10751417741819562,226.94657992283652,2
2009,8851.544787932156,7223.914738162462,1627.630049769695,10559.2271,3675.439431185417,458.8652472205206,145,1387.0065177218885,4.011242480242432,0.0,6601.1335324988495,0.10787443009618661,229.20602543398786,4
2010,8633.939232845221,7157.713711792843,1476.2255210523783,10562.0922,3748.878003234831,461.22999722712194,146,1407.916361680362,1.7084356728102899,0.0,6580.094756554633,0.10765051523289439,228.47551238036922,3
2011,10450.876632919462,8514.9226456832,1935.9539872362614,10568.7928,2389.0945945703006,303.20939110592275,96,906.5161069065038,5.077700660741965,0.0,6454.131311716203,0.10815013987314759,224.10178165681262,3
2012,10037.873017122145,8214.30151831258,1823.5714988095642,10626.2358,2747.805475391786,340.5635382937516,108,1034.453809857334,1.645131619357687,0.0,6466.583362333497,0.10744666266718388,224.53414452546866,2
2013,9500.345115661348,7791.702964488675,1708.6421511726726,10561.5664,3104.0102792957114,394.5095091761317,125,1178.3504887962608,6.97968977426439,0.0,6567.377080926098,0.10807248712440778,228.0339264210451,3
2014,8808.288506513503,7176.4056701416885,1631.8828363718148,10536.3886,3700.1208373581644,461.8011899190201,146,1396.1751387468394,3.803859317536599,0.0,6527.577130908409,0.10745028032735152,226.65198371209758,4
2015,10446.126601288152,8526.591500607432,1919.5351006807205,10586.4025,2401.9953475463008,299.18862324802484,95,905.7531049516361,1.1015346619643505,0.0,6475.2926267119265,0.10984578527870716,224.83654953860858,2
2016,9374.831985366172,7729.155278805047,1645.6767065611261,10584.8104,3189.85533450118,390.8554309691865,124,1196.3744548331208,3.1168798750625584,0.0,6539.118042768679,0.109374716150397,227.05270981835693,3
2017,10135.36532300953,8128.892965637875,2006.4723573716549,10581.5492,2789.898724028399,341.0940339875131,108,1045.6139137926643,3.3735624309219236,0.0,6447.481304301567,0.10828173428644383,223.87087862158222,2
2018,9453.781788256514,7791.720382290925,1662.0614059655888,10561.5772,3110.7744844653507,385.52825339556915,122,1171.077365634294,3.9999861937626777,0.0,6511.612386098703,0.10827014885777735,226.09765229509387,3
2019,9495.182352782493,7622.682269071636,1872.5000837108557,10578.632,3293.31511240083,410.5295843757349,130,1242.174814779985,2.8935336243775103,0.0,6488.280261478028,0.10835610123182966,225.28750907909821,4
2020,10185.584139102135,8275.639070608167,1909.9450684939663,10592.2057,2643.507068219583,334.1859507507767,106,1001.7382407052169,8.82444218893085,0.0,6472.03359014967,0.10791973512376292,224.72338854686356,2
2021,9734.060391876428,7934.989882716414,1799.0705091600141,10583.3825,2995.2985078704583,372.77239762903554,118,1129.160909717535,4.925241096231428,0.0,6501.640676175034,0.10755278465258714,225.7514123671887,3
2022,10206.343758174955,8218.73662978793,1987.6071283870244,10583.9074,2703.167654043396,347.3844751535459,110,1030.002569608949,6.438651984360184,0.0,6507.509624144966,0.10749556125982176,225.95519528281136,2
2023,9653.531553999308,7932.654551465656,1720.8770025336514,10574.0785,2973.489223253376,372.61391116530694,118,1123.4950281484828,7.705809739120975,0.0,6505.87440092726,0.10790810634818103,225.8984166988632,3
