time,pv_kwh,pv_used_kwh,curtailed_kwh,load_kwh,gen_dc_kwh,genset_h,starts,fuel_l,wet_stack_h,unmet_kwh,discharge_kwh,soc_min,cycles,refills
2005,10374.519482325659,8890.13428744451,1484.3851948811473,10605.3779,2036.932525629417,223.34786465234836,79,737.7247650638172,0.0,0.0,6690.400915967154,0.12472026228121583,137.66257028739003,2
2006,10453.984348225385,9160.986675815037,1292.9976724103478,10620.4785,1801.5222765080896,197.53533733641336,71,652.4652051414865,0.0,0.0,6616.96975669142,0.12485069380314426,136.15164108418563,2
2007,10653.13665869212,9045.198556851703,1607.938101840416,10643.5798,1968.7138681140596,215.8677486967171,77,713.0177153921867,0.0,0.0,6603.893597491079,0.12471145074441967,135.88258431051605,1
2008,10358.223971448117,9014.501880964614,1343.7220904835028,10661.975199999999,1992.7458239155344,218.5028315696858,78,721.7214739725986,0.0,0.0,6647.5883534519,0.12523320930510998,136.78165336320782,2
2009,9831.492577299638,8639.216777802965,1192.2757994966737,10629.0751,2307.9291470434337,253.06240647406074,89,835.8727971415944,0.0,0.0,6732.095543595699,0.12491862820111697,138.5204844361255,2
2010,9604.582690922432,8262.416651738979,1342.1660391834537,10620.707699999999,2738.0661447149278,300.2265509555842,106,991.6573955805659,0.0,0.0,6703.646814603695,0.12516883384977814,137.93511964205135,3
2011,11153.042352374983,9457.355299339843,1695.6870530351405,10646.333,1530.0215839664954,167.76552455772978,60,554.1346114179559,0.0,0.0,6566.174006442175,0.12539623298257982,135.10646103790484,1
2012,10805.285028703445,9166.224488308839,1639.0605403946051,10705.023,1879.515973927994,206.08727784298185,74,680.7125237843945,0.0,0.0,6559.889367876173,0.12490528510822875,134.97714748716407,2
2013,10221.377911729393,8825.295808291736,1396.0821034376572,10626.2914,2115.094372656819,231.9182426158793,83,766.0329831857831,0.0,0.0,6652.888132618821,0.12526256786375228,136.89070231725972,2
2014,9576.711276806138,8491.455294446503,1085.255982359636,10585.2412,2456.156663361347,269.3154236141828,96,889.5570052710887,0.0,0.0,6662.848835529613,0.12548895222951223,137.09565505204966,2
2015,11098.574477477774,9513.849861241279,1584.724616236495,10664.1876,1506.7865393405393,165.2178222961118,60,545.7194736447328,0.0,0.0,6571.209793034076,0.1265902367696961,135.21007804596866,1
2016,10103.712937186334,8947.292769433081,1156.420167753252,10649.2058,2037.6438783589062,223.42586385514323,80,737.9823987942609,0.0,0.0,6696.862685714239,0.12511429141939595,137.79552851263867,2
2017,11033.521803531077,9389.0850703891,1644.4367331419783,10661.1909,1611.3823322003868,176.68665923249858,63,583.6013895861316,0.0,0.0,6602.995901583233,0.12504511304800683,135.8641132013011,2
2018,10135.110926293064,8986.145886616996,1148.9650396760687,10655.143,2028.9674036895713,222.47449601859336,79,734.8400020008083,0.0,0.0,6658.281766180383,0.1249707895124045,137.00168243169514,1
2019,10390.585031604835,8952.153885029085,1438.4311465757492,10643.0563,2032.982862320891,222.91478753518544,79,736.2942982222792,0.0,0.0,6620.216993714449,0.12493747210654263,136.21845666079116,2
2020,10904.979512808584,9465.98610041032,1438.9934123982628,10652.7747,1510.1964321394769,165.59171405038126,59,546.954449439138,0.0,0.0,6602.3344795748135,0.12471736306804107,135.85050369495502,2
2021,10379.525706565559,8924.675250043154,1454.8504565224048,10660.6096,2103.2255427987748,230.616835833199,82,761.7343971460209,0.0,0.0,6630.176141924058,0.12499745357165126,136.42337740584483,1
2022,11014.813478496299,9422.657797734539,1592.1556807617594,10665.1594,1569.2127550388564,172.06280208759392,62,568.3286493196283,0.0,0.0,6578.1716322977045,0.12497570841441925,135.3533257674425,2
2023,10424.92361381965,9209.139767895133,1215.7838459245181,10648.6851,1795.1869113587422,196.84067010512524,69,650.1706982260197,0.0,0.0,6634.5766599312765,0.12497750764376828,136.51392304385345,2
