time(UTC),temp_air,relative_humidity,ghi,dni,dhi,IR(h),wind_speed,wind_direction,pressure
1990-01-01 00:00:00+00:00,2.14,87.78,0.0,0.0,0.0,292.8,1.7,124.0,92830.0
1990-01-01 01:00:00+00:00,2.28,90.34,0.0,0.0,0.0,300.64,1.79,125.0,92820.0
1990-01-01 02:00:00+00:00,2.42,92.9,0.0,0.0,0.0,308.47,1.88,124.0,92760.0
1990-01-01 03:00:00+00:00,2.57,95.47,0.0,0.0,0.0,316.31,1.98,124.0,92690.0
1990-01-01 04:00:00+00:00,2.71,98.03,0.0,0.0,0.0,324.14,2.07,124.0,92640.0
1990-01-01 05:00:00+00:00,2.85,100.0,0.0,0.0,0.0,331.97,2.16,126.0,92620.0
1990-01-01 06:00:00+00:00,3.0,100.0,0.0,0.0,0.0,339.81,2.25,126.0,92600.0
1990-01-01 07:00:00+00:00,3.14,100.0,24.0,0.0,24.0,347.64,2.34,135.0,92620.0
1990-01-01 08:00:00+00:00,3.86,100.0,59.0,0.0,59.0,334.8,1.86,140.0,92630.0
1990-01-01 09:00:00+00:00,4.05,99.4,66.0,0.0,66.0,337.9,1.79,147.0,92620.0
1990-01-01 10:00:00+00:00,4.44,100.0,35.0,0.0,35.0,337.9,1.86,152.0,92580.0
1990-01-01 11:00:00+00:00,5.03,99.4,36.0,0.0,36.0,339.65,2.14,165.0,92490.0
1990-01-01 12:00:00+00:00,5.7,99.4,32.0,0.0,32.0,337.1,2.21,170.0,92420.0
1990-01-01 13:00:00+00:00,6.05,99.4,34.0,0.0,34.0,339.85,2.21,173.0,92410.0
1990-01-01 14:00:00+00:00,6.07,95.8,41.0,0.0,41.0,342.15,2.83,176.0,92380.0
1990-01-01 15:00:00+00:00,6.08,95.8,0.0,0.0,0.0,339.05,3.45,179.0,92380.0
1990-01-01 16:00:00+00:00,6.02,99.4,0.0,0.0,0.0,338.1,3.03,174.0,92360.0
1990-01-01 17:00:00+00:00,6.08,99.4,0.0,0.0,0.0,334.0,2.97,177.0,92350.0
1990-01-01 18:00:00+00:00,6.21,99.4,0.0,0.0,0.0,337.3,3.24,178.0,92350.0
1990-01-01 19:00:00+00:00,6.28,99.4,0.0,0.0,0.0,344.5,2.76,174.0,92310.0
1990-01-01 20:00:00+00:00,6.37,95.8,0.0,0.0,0.0,333.25,3.1,170.0,92270.0
1990-01-01 21:00:00+00:00,6.7,95.8,0.0,0.0,0.0,334.6,3.38,168.0,92270.0
1990-01-01 22:00:00+00:00,6.81,95.8,0.0,0.0,0.0,339.05,3.66,163.0,92240.0
1990-01-01 23:00:00+00:00,6.74,95.8,0.0,0.0,0.0,336.35,3.86,160.0,92180.0
1990-01-02 00:00:00+00:00,6.52,95.8,0.0,0.0,0.0,340.4,5.31,160.0,92130.0
1990-01-02 01:00:00+00:00,6.37,99.4,0.0,0.0,0.0,337.05,4.83,161.0,92110.0
